fecha,FlujoMaximo,flujoPromedio,NroLecturas,NroEquipos
03/09/2017,1220,551,39,1
04/09/2017,1257,539,37,1
05/09/2017,1118,453,86,2
06/09/2017,1136,325,90,2
07/09/2017,803,399,108,1
08/09/2017,863,406,56,3
09/09/2017,1808,569,92,2
10/09/2017,421,271,140,1
11/09/2017,1838,781,80,3
12/09/2017,4624,1763,40,1
13/09/2017,561,330,50,1
14/09/2017,769,471,80,2
15/09/2017,990,408,70,2
16/09/2017,1946,385,72,2
17/09/2017,558,220,86,2
18/09/2017,1185,514,77,2
19/09/2017,1750,692,60,3
20/09/2017,270,149,88,2
21/09/2017,1566,526,60,3
22/09/2017,686,349,57,2
23/09/2017,874,403,45,2
24/09/2017,949,334,66,2
25/09/2017,1335,430,68,2
26/09/2017,748,371,83,3
27/09/2017,847,366,54,2
28/09/2017,1602,631,88,2
29/09/2017,2005,893,60,2
30/09/2017,3522,1533,50,2
01/10/2017,3717,1262,59,2
02/10/2017,1124,249,46,3
03/10/2017,1306,417,76,2
04/10/2017,1753,895,68,2
05/10/2017,873,422,100,3
06/10/2017,949,364,96,3
07/10/2017,1181,403,82,3
08/10/2017,534,107,99,2
09/10/2017,1366,349,98,3
10/10/2017,1287,608,67,3
11/10/2017,1998,853,62,3
12/10/2017,1738,496,115,1
13/10/2017,1494,522,67,3
14/10/2017,969,263,60,2
15/10/2017,2313,337,60,2
16/10/2017,2196,623,40,2
17/10/2017,1140,437,76,2
18/10/2017,865,295,107,3
19/10/2017,925,350,134,3
20/10/2017,726,304,121,2
21/10/2017,1231,282,124,3
22/10/2017,471,104,108,3
23/10/2017,1137,598,134,3
24/10/2017,989,463,145,3
25/10/2017,2009,603,127,3
26/10/2017,1410,493,104,3
27/10/2017,1357,659,124,3
28/10/2017,1187,512,114,2
29/10/2017,2635,662,140,2
30/10/2017,3996,978,133,2
31/10/2017,1136,303,130,2
01/11/2017,891,324,141,2
02/11/2017,1434,613,151,2
03/11/2017,2085,788,109,3
04/11/2017,1011,330,136,3
05/11/2017,1877,800,132,3
06/11/2017,1790,564,98,3
07/11/2017,856,246,132,3
08/11/2017,2763,1080,133,3
09/11/2017,1671,729,150,3
