fecha,hora,cantidad,otro1,otro2,otro3,otro4
04/05/2017,05:50:00.00,12179281.93009,12.17928,42.88479,99.76413,2000.00000
05/05/2017,06:35:00.00,5872168.86589,5.87217,42.97089,82.77021,2236.06800
07/05/2017,03:15:00.00,31826915.29579,31.82692,20.81264,81.72042,2236.06800
09/05/2017,03:05:00.00,11323272.60159,11.32327,42.77985,82.87376,2828.42710
09/05/2017,06:10:00.00,10158431.12457,10.15843,7.47129,97.95512,1414.21360
10/05/2017,03:45:00.00,2454018.58776,2.45402,42.97099,99.97611,1000.00000
11/05/2017,05:55:00.00,6686068.14315,6.68607,33.17103,99.33686,2000.00000
12/05/2017,03:35:00.00,3526312.29965,3.52631,21.32543,98.78209,2000.00000
12/05/2017,06:40:00.00,4322302.15131,4.32230,50.84973,83.06679,1414.21360
13/05/2017,05:45:00.00,1372168.20103,1.37217,50.81079,100.19240,2000.00000
14/05/2017,03:20:00.00,30547218.31035,30.54722,6.97396,80.48570,2236.06800
14/05/2017,06:25:00.00,21735213.86104,21.73521,33.00595,82.28749,1414.21360
14/05/2017,18:40:00.00,19689340.52608,19.68934,22.15013,98.94060,1414.21360
15/05/2017,04:05:00.00,312721.42376,0.31272,62.30173,101.46094,1414.21360
16/05/2017,03:10:00.00,2058778.57588,2.05878,32.86704,82.36046,2828.42710
16/05/2017,06:15:00.00,3637977.98848,3.63798,7.14237,80.89328,1414.21360
18/05/2017,02:55:00.00,1865700.57846,1.86570,50.77323,83.34770,2236.06800
18/05/2017,06:00:00.00,900405.89923,0.90041,21.18629,98.88744,1000.00000
20/05/2017,05:50:00.00,4780612.62570,4.78061,42.89678,99.76286,2000.00000
21/05/2017,03:30:00.00,3737653.24137,3.73765,7.55016,97.62611,1414.21360
21/05/2017,06:30:00.00,2334990.67716,2.33499,42.93489,82.66683,1000.00000
27/05/2017,05:55:00.00,6549506.92559,6.54951,33.08426,99.33619,2000.00000
28/05/2017,03:35:00.00,1582060.68819,1.58206,21.28135,98.77349,1414.21360
31/05/2017,14:55:00.00,8258781.27199,8.25878,22.04331,99.06671,1000.00000
01/06/2017,03:10:00.00,4138378.41228,4.13838,32.88138,82.36151,2236.06800
01/06/2017,06:15:00.00,16932558.82332,16.93256,7.18648,80.91252,1414.21360
